n,permutation,r_orb,a_coefficients,b_coefficients,alpha
9,012354876,1,0-0-0-0-0-0-6-9-5-1,0-0-0-0-0-0-6-9-5-1,6-9-5
9,012356478,1,0-0-0-0-0-0-34-27-5-1,0-0-0-0-0-0-34-36-9-1,34-27-5
9,012356487,1,0-0-0-0-0-0-15-20-8-1,0-0-0-0-0-0-15-22-9-1,15-20-8
9,012356748,1,0-0-0-0-0-0-29-28-4-1,0-0-0-0-0-0-29-36-9-1,29-28-4
9,012356784,1,0-0-0-0-0-0-28-28-1-1,0-0-0-0-0-0-28-36-9-1,28-28-1
9,012356847,1,0-0-0-0-0-0-14-20-3-1,0-0-0-0-0-0-14-22-9-1,14-20-3
9,012356874,0,0-0-0-0-0-0-13-19-6-0,0-0-0-0-0-0-13-21-9-1,13-19-6
9,012357468,1,0-0-0-0-0-0-19-23-9-1,0-0-0-0-0-0-19-26-9-1,19-23-9
9,012357486,1,0-0-0-0-0-0-10-17-8-1,0-0-0-0-0-0-10-18-9-1,10-17-8
9,012357648,1,0-0-0-0-0-0-14-19-9-1,0-0-0-0-0-0-14-21-9-1,14-19-9
9,012357684,1,0-0-0-0-0-0-13-19-7-1,0-0-0-0-0-0-13-21-9-1,13-19-7
9,012357846,0,0-0-0-0-0-0-9-17-7-0,0-0-0-0-0-0-9-18-9-1,9-17-7
9,012357864,0,0-0-0-0-0-0-8-15-7-0,0-0-0-0-0-0-8-16-9-1,8-15-7
9,012358467,1,0-0-0-0-0-0-14-20-3-1,0-0-0-0-0-0-14-22-9-1,14-20-3
9,012358476,1,0-0-0-0-0-0-5-9-5-1,0-0-0-0-0-0-5-9-5-1,5-9-5
9,012358647,1,0-0-0-0-0-0-9-16-8-1,0-0-0-0-0-0-9-17-9-1,9-16-8
9,012358674,0,0-0-0-0-0-0-8-15-7-0,0-0-0-0-0-0-8-16-9-1,8-15-7
9,012358746,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012358764,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012364578,1,0-0-0-0-0-0-34-27-5-1,0-0-0-0-0-0-34-36-9-1,34-27-5
9,012364587,1,0-0-0-0-0-0-15-20-8-1,0-0-0-0-0-0-15-22-9-1,15-20-8
9,012364758,1,0-0-0-0-0-0-19-23-9-1,0-0-0-0-0-0-19-26-9-1,19-23-9
9,012364785,1,0-0-0-0-0-0-14-20-3-1,0-0-0-0-0-0-14-22-9-1,14-20-3
9,012364857,1,0-0-0-0-0-0-10-17-8-1,0-0-0-0-0-0-10-18-9-1,10-17-8
9,012364875,1,0-0-0-0-0-0-5-9-5-1,0-0-0-0-0-0-5-9-5-1,5-9-5
9,012365478,1,0-0-0-0-0-0-19-18-9-1,0-0-0-0-0-0-19-21-9-1,19-18-9
9,012365487,1,0-0-0-0-0-0-6-9-5-1,0-0-0-0-0-0-6-9-5-1,6-9-5
9,012365748,1,0-0-0-0-0-0-14-19-9-1,0-0-0-0-0-0-14-21-9-1,14-19-9
9,012365784,1,0-0-0-0-0-0-13-19-7-1,0-0-0-0-0-0-13-21-9-1,13-19-7
9,012365847,1,0-0-0-0-0-0-5-9-5-1,0-0-0-0-0-0-5-9-5-1,5-9-5
9,012365874,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012367458,1,0-0-0-0-0-0-14-24-9-1,0-0-0-0-0-0-14-26-9-1,14-24-9
9,012367485,1,0-0-0-0-0-0-9-17-8-1,0-0-0-0-0-0-9-18-9-1,9-17-8
9,012367548,1,0-0-0-0-0-0-9-15-9-1,0-0-0-0-0-0-9-16-9-1,9-15-9
9,012367584,1,0-0-0-0-0-0-8-15-8-1,0-0-0-0-0-0-8-16-9-1,8-15-8
9,012367845,0,0-0-0-0-0-0-8-17-7-0,0-0-0-0-0-0-8-18-9-1,8-17-7
9,012367854,0,0-0-0-0-0-0-7-14-7-0,0-0-0-0-0-0-7-15-9-1,7-14-7
9,012368457,1,0-0-0-0-0-0-9-17-8-1,0-0-0-0-0-0-9-18-9-1,9-17-8
9,012368475,1,0-0-0-0-0-0-4-9-5-1,0-0-0-0-0-0-4-9-5-1,4-9-5
9,012368547,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012368574,1,0-0-0-0-0-0-3-7-5-1,0-0-0-0-0-0-3-7-5-1,3-7-5
9,012368745,0,0-0-0-0-0-0-3-8-5-0,0-0-0-0-0-0-3-8-5-1,3-8-5
9,012368754,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012374568,1,0-0-0-0-0-0-29-28-4-1,0-0-0-0-0-0-29-36-9-1,29-28-4
9,012374586,1,0-0-0-0-0-0-14-20-3-1,0-0-0-0-0-0-14-22-9-1,14-20-3
9,012374658,1,0-0-0-0-0-0-14-19-9-1,0-0-0-0-0-0-14-21-9-1,14-19-9
9,012374685,1,0-0-0-0-0-0-9-16-8-1,0-0-0-0-0-0-9-17-9-1,9-16-8
9,012374856,0,0-0-0-0-0-0-9-17-7-0,0-0-0-0-0-0-9-18-9-1,9-17-7
9,012374865,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012375468,1,0-0-0-0-0-0-14-19-9-1,0-0-0-0-0-0-14-21-9-1,14-19-9
9,012375486,1,0-0-0-0-0-0-5-9-5-1,0-0-0-0-0-0-5-9-5-1,5-9-5
9,012375648,1,0-0-0-0-0-0-9-15-9-1,0-0-0-0-0-0-9-16-9-1,9-15-9
9,012375684,1,0-0-0-0-0-0-8-15-8-1,0-0-0-0-0-0-8-16-9-1,8-15-8
9,012375846,1,0-0-0-0-0-0-4-9-5-1,0-0-0-0-0-0-4-9-5-1,4-9-5
9,012375864,1,0-0-0-0-0-0-3-7-5-1,0-0-0-0-0-0-3-7-5-1,3-7-5
9,012376458,1,0-0-0-0-0-0-9-15-9-1,0-0-0-0-0-0-9-16-9-1,9-15-9
9,012376485,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012376548,1,0-0-0-0-0-0-4-6-4-1,0-0-0-0-0-0-4-6-4-1,4-6-4
9,012376584,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012376845,1,0-0-0-0-0-0-3-8-5-1,0-0-0-0-0-0-3-8-5-1,3-8-5
9,012376854,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012378456,0,0-0-0-0-0-0-8-17-7-0,0-0-0-0-0-0-8-18-9-1,8-17-7
9,012378465,0,0-0-0-0-0-0-3-8-5-0,0-0-0-0-0-0-3-8-5-1,3-8-5
9,012378546,1,0-0-0-0-0-0-3-8-5-1,0-0-0-0-0-0-3-8-5-1,3-8-5
9,012378564,1,0-0-0-0-0-0-2-6-5-1,0-0-0-0-0-0-2-6-5-1,2-6-5
9,012378645,1,0-0-0-0-0-0-2-6-5-1,0-0-0-0-0-0-2-6-5-1,2-6-5
9,012378654,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012384567,1,0-0-0-0-0-0-28-28-1-1,0-0-0-0-0-0-28-36-9-1,28-28-1
9,012384576,0,0-0-0-0-0-0-13-19-6-0,0-0-0-0-0-0-13-21-9-1,13-19-6
9,012384657,1,0-0-0-0-0-0-13-19-7-1,0-0-0-0-0-0-13-21-9-1,13-19-7
9,012384675,0,0-0-0-0-0-0-8-15-7-0,0-0-0-0-0-0-8-16-9-1,8-15-7
9,012384756,0,0-0-0-0-0-0-8-15-7-0,0-0-0-0-0-0-8-16-9-1,8-15-7
9,012384765,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012385467,1,0-0-0-0-0-0-13-19-7-1,0-0-0-0-0-0-13-21-9-1,13-19-7
9,012385476,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012385647,1,0-0-0-0-0-0-8-15-8-1,0-0-0-0-0-0-8-16-9-1,8-15-8
9,012385674,0,0-0-0-0-0-0-7-14-7-0,0-0-0-0-0-0-7-15-9-1,7-14-7
9,012385746,1,0-0-0-0-0-0-3-7-5-1,0-0-0-0-0-0-3-7-5-1,3-7-5
9,012385764,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012386457,1,0-0-0-0-0-0-8-15-8-1,0-0-0-0-0-0-8-16-9-1,8-15-8
9,012386475,1,0-0-0-0-0-0-3-7-5-1,0-0-0-0-0-0-3-7-5-1,3-7-5
9,012386547,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012386574,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012386745,1,0-0-0-0-0-0-2-6-5-1,0-0-0-0-0-0-2-6-5-1,2-6-5
9,012386754,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012387456,0,0-0-0-0-0-0-7-14-7-0,0-0-0-0-0-0-7-15-9-1,7-14-7
9,012387465,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012387546,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012387564,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012387645,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012435678,1,0-0-0-0-0-0-49-21-5-1,0-0-0-0-0-0-49-36-9-1,49-21-5
9,012435687,0,0-0-0-0-0-0-24-22-5-0,0-0-0-0-0-0-24-26-9-1,24-22-5
9,012435768,1,0-0-0-0-0-0-24-22-7-1,0-0-0-0-0-0-24-26-9-1,24-22-7
9,012435786,0,0-0-0-0-0-0-15-20-6-0,0-0-0-0-0-0-15-22-9-1,15-20-6
9,012435867,0,0-0-0-0-0-0-15-20-6-0,0-0-0-0-0-0-15-22-9-1,15-20-6
9,012435876,1,0-0-0-0-0-0-6-9-5-1,0-0-0-0-0-0-6-9-5-1,6-9-5
9,012436578,1,0-0-0-0-0-0-24-22-7-1,0-0-0-0-0-0-24-26-9-1,24-22-7
9,012436587,1,0-0-0-0-0-0-8-12-6-1,0-0-0-0-0-0-8-12-6-1,8-12-6
9,012436758,1,0-0-0-0-0-0-15-20-8-1,0-0-0-0-0-0-15-22-9-1,15-20-8
9,012436785,0,0-0-0-0-0-0-13-19-6-0,0-0-0-0-0-0-13-21-9-1,13-19-6
9,012436857,1,0-0-0-0-0-0-6-11-6-1,0-0-0-0-0-0-6-11-6-1,6-11-6
9,012436875,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012437568,1,0-0-0-0-0-0-15-20-8-1,0-0-0-0-0-0-15-22-9-1,15-20-8
9,012437586,1,0-0-0-0-0-0-6-11-6-1,0-0-0-0-0-0-6-11-6-1,6-11-6
9,012437658,1,0-0-0-0-0-0-6-9-5-1,0-0-0-0-0-0-6-9-5-1,6-9-5
9,012437685,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012437856,1,0-0-0-0-0-0-4-10-6-1,0-0-0-0-0-0-4-10-6-1,4-10-6
9,012437865,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012438567,0,0-0-0-0-0-0-13-19-6-0,0-0-0-0-0-0-13-21-9-1,13-19-6
9,012438576,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012438657,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012438675,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012438756,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012453678,1,0-0-0-0-0-0-34-27-1-1,0-0-0-0-0-0-34-36-9-1,34-27-1
9,012453687,0,0-0-0-0-0-0-15-20-6-0,0-0-0-0-0-0-15-22-9-1,15-20-6
9,012453768,1,0-0-0-0-0-0-15-20-7-1,0-0-0-0-0-0-15-22-9-1,15-20-7
9,012453786,0,0-0-0-0-0-0-9-16-7-0,0-0-0-0-0-0-9-17-9-1,9-16-7
9,012453867,0,0-0-0-0-0-0-9-16-7-0,0-0-0-0-0-0-9-17-9-1,9-16-7
9,012453876,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012456378,1,0-0-0-0-0-0-29-28-1-1,0-0-0-0-0-0-29-36-9-1,29-28-1
9,012456387,0,0-0-0-0-0-0-13-19-6-0,0-0-0-0-0-0-13-21-9-1,13-19-6
9,012456738,1,0-0-0-0-0-0-28-28-1-1,0-0-0-0-0-0-28-36-9-1,28-28-1
9,012456783,1,0-0-0-0-0-0-28-28-1-1,0-0-0-0-0-0-28-36-9-1,28-28-1
9,012456837,0,0-0-0-0-0-0-13-19-0-0,0-0-0-0-0-0-13-21-9-1,13-19-0
9,012456873,0,0-0-0-0-0-0-13-19-6-0,0-0-0-0-0-0-13-21-9-1,13-19-6
9,012457368,1,0-0-0-0-0-0-14-20-6-1,0-0-0-0-0-0-14-22-9-1,14-20-6
9,012457386,0,0-0-0-0-0-0-8-15-6-0,0-0-0-0-0-0-8-16-9-1,8-15-6
9,012457638,1,0-0-0-0-0-0-13-19-7-1,0-0-0-0-0-0-13-21-9-1,13-19-7
9,012457683,1,0-0-0-0-0-0-13-19-7-1,0-0-0-0-0-0-13-21-9-1,13-19-7
9,012457836,0,0-0-0-0-0-0-8-15-5-0,0-0-0-0-0-0-8-16-9-1,8-15-5
9,012457863,0,0-0-0-0-0-0-8-15-7-0,0-0-0-0-0-0-8-16-9-1,8-15-7
9,012458367,0,0-0-0-0-0-0-9-16-3-0,0-0-0-0-0-0-9-17-9-1,9-16-3
9,012458376,0,0-0-0-0-0-0-3-6-2-0,0-0-0-0-0-0-3-6-4-1,3-6-2
9,012458637,0,0-0-0-0-0-0-8-15-6-0,0-0-0-0-0-0-8-16-9-1,8-15-6
9,012458673,0,0-0-0-0-0-0-8-15-7-0,0-0-0-0-0-0-8-16-9-1,8-15-7
9,012458736,0,0-0-0-0-0-0-3-6-2-0,0-0-0-0-0-0-3-6-4-1,3-6-2
9,012458763,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012463578,1,0-0-0-0-0-0-19-23-3-1,0-0-0-0-0-0-19-26-9-1,19-23-3
9,012463587,1,0-0-0-0-0-0-6-11-6-1,0-0-0-0-0-0-6-11-6-1,6-11-6
9,012463758,1,0-0-0-0-0-0-10-17-8-1,0-0-0-0-0-0-10-18-9-1,10-17-8
9,012463785,0,0-0-0-0-0-0-8-15-6-0,0-0-0-0-0-0-8-16-9-1,8-15-6
9,012463857,1,0-0-0-0-0-0-4-9-6-1,0-0-0-0-0-0-4-9-6-1,4-9-6
9,012463875,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012465378,1,0-0-0-0-0-0-14-19-7-1,0-0-0-0-0-0-14-21-9-1,14-19-7
9,012465387,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012465738,1,0-0-0-0-0-0-13-19-7-1,0-0-0-0-0-0-13-21-9-1,13-19-7
9,012465783,1,0-0-0-0-0-0-13-19-7-1,0-0-0-0-0-0-13-21-9-1,13-19-7
9,012465837,0,0-0-0-0-0-0-4-8-3-0,0-0-0-0-0-0-4-8-5-1,4-8-3
9,012465873,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012467358,1,0-0-0-0-0-0-9-17-8-1,0-0-0-0-0-0-9-18-9-1,9-17-8
9,012467385,0,0-0-0-0-0-0-7-14-7-0,0-0-0-0-0-0-7-15-9-1,7-14-7
9,012467538,1,0-0-0-0-0-0-8-15-8-1,0-0-0-0-0-0-8-16-9-1,8-15-8
9,012467583,1,0-0-0-0-0-0-8-15-8-1,0-0-0-0-0-0-8-16-9-1,8-15-8
9,012467835,0,0-0-0-0-0-0-7-14-7-0,0-0-0-0-0-0-7-15-9-1,7-14-7
9,012467853,0,0-0-0-0-0-0-7-14-7-0,0-0-0-0-0-0-7-15-9-1,7-14-7
9,012468357,1,0-0-0-0-0-0-4-9-4-1,0-0-0-0-0-0-4-9-6-1,4-9-4
9,012468375,0,0-0-0-0-0-0-2-5-3-0,0-0-0-0-0-0-2-5-4-1,2-5-3
9,012468537,1,0-0-0-0-0-0-3-7-4-1,0-0-0-0-0-0-3-7-5-1,3-7-4
9,012468573,1,0-0-0-0-0-0-3-7-5-1,0-0-0-0-0-0-3-7-5-1,3-7-5
9,012468735,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012468753,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012473568,1,0-0-0-0-0-0-14-20-3-1,0-0-0-0-0-0-14-22-9-1,14-20-3
9,012473586,1,0-0-0-0-0-0-5-10-4-1,0-0-0-0-0-0-5-10-6-1,5-10-4
9,012473658,1,0-0-0-0-0-0-5-9-5-1,0-0-0-0-0-0-5-9-5-1,5-9-5
9,012473685,1,0-0-0-0-0-0-3-7-5-1,0-0-0-0-0-0-3-7-5-1,3-7-5
9,012473856,0,0-0-0-0-0-0-3-8-5-0,0-0-0-0-0-0-3-8-6-1,3-8-5
9,012473865,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012475368,1,0-0-0-0-0-0-9-16-8-1,0-0-0-0-0-0-9-17-9-1,9-16-8
9,012475386,1,0-0-0-0-0-0-3-7-5-1,0-0-0-0-0-0-3-7-5-1,3-7-5
9,012475638,1,0-0-0-0-0-0-8-15-8-1,0-0-0-0-0-0-8-16-9-1,8-15-8
9,012475683,1,0-0-0-0-0-0-8-15-8-1,0-0-0-0-0-0-8-16-9-1,8-15-8
9,012475836,1,0-0-0-0-0-0-3-7-4-1,0-0-0-0-0-0-3-7-5-1,3-7-4
9,012475863,1,0-0-0-0-0-0-3-7-5-1,0-0-0-0-0-0-3-7-5-1,3-7-5
9,012476358,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012476385,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012476538,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012476583,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012476835,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012476853,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012478356,0,0-0-0-0-0-0-3-8-4-0,0-0-0-0-0-0-3-8-6-1,3-8-4
9,012478365,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012478536,0,0-0-0-0-0-0-2-6-5-0,0-0-0-0-0-0-2-6-5-1,2-6-5
9,012478563,1,0-0-0-0-0-0-2-6-5-1,0-0-0-0-0-0-2-6-5-1,2-6-5
9,012478635,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012478653,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012483567,0,0-0-0-0-0-0-13-19-0-0,0-0-0-0-0-0-13-21-9-1,13-19-0
9,012483576,0,0-0-0-0-0-0-4-8-3-0,0-0-0-0-0-0-4-8-5-1,4-8-3
9,012483657,0,0-0-0-0-0-0-4-8-3-0,0-0-0-0-0-0-4-8-5-1,4-8-3
9,012483675,0,0-0-0-0-0-0-2-5-3-0,0-0-0-0-0-0-2-5-4-1,2-5-3
9,012483756,0,0-0-0-0-0-0-2-5-3-0,0-0-0-0-0-0-2-5-4-1,2-5-3
9,012485367,0,0-0-0-0-0-0-8-15-6-0,0-0-0-0-0-0-8-16-9-1,8-15-6
9,012485376,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012485637,0,0-0-0-0-0-0-7-14-7-0,0-0-0-0-0-0-7-15-9-1,7-14-7
9,012485673,0,0-0-0-0-0-0-7-14-7-0,0-0-0-0-0-0-7-15-9-1,7-14-7
9,012485736,0,0-0-0-0-0-0-2-5-3-0,0-0-0-0-0-0-2-5-4-1,2-5-3
9,012485763,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012486357,1,0-0-0-0-0-0-3-7-4-1,0-0-0-0-0-0-3-7-5-1,3-7-4
9,012486375,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012486537,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012486573,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012486735,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012486753,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012487356,0,0-0-0-0-0-0-2-5-2-0,0-0-0-0-0-0-2-5-4-1,2-5-2
9,012487536,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012487563,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012534678,1,0-0-0-0-0-0-34-27-1-1,0-0-0-0-0-0-34-36-9-1,34-27-1
9,012534687,0,0-0-0-0-0-0-15-20-6-0,0-0-0-0-0-0-15-22-9-1,15-20-6
9,012534768,1,0-0-0-0-0-0-15-20-7-1,0-0-0-0-0-0-15-22-9-1,15-20-7
9,012534786,0,0-0-0-0-0-0-9-16-7-0,0-0-0-0-0-0-9-17-9-1,9-16-7
9,012534867,0,0-0-0-0-0-0-9-16-7-0,0-0-0-0-0-0-9-17-9-1,9-16-7
9,012534876,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012536478,1,0-0-0-0-0-0-19-23-3-1,0-0-0-0-0-0-19-26-9-1,19-23-3
9,012536487,1,0-0-0-0-0-0-6-11-6-1,0-0-0-0-0-0-6-11-6-1,6-11-6
9,012536748,1,0-0-0-0-0-0-14-20-3-1,0-0-0-0-0-0-14-22-9-1,14-20-3
9,012536784,0,0-0-0-0-0-0-13-19-0-0,0-0-0-0-0-0-13-21-9-1,13-19-0
9,012536847,1,0-0-0-0-0-0-5-10-4-1,0-0-0-0-0-0-5-10-6-1,5-10-4
9,012536874,0,0-0-0-0-0-0-4-8-3-0,0-0-0-0-0-0-4-8-5-1,4-8-3
9,012537468,1,0-0-0-0-0-0-10-17-8-1,0-0-0-0-0-0-10-18-9-1,10-17-8
9,012537486,1,0-0-0-0-0-0-4-9-6-1,0-0-0-0-0-0-4-9-6-1,4-9-6
9,012537648,1,0-0-0-0-0-0-5-9-5-1,0-0-0-0-0-0-5-9-5-1,5-9-5
9,012537684,0,0-0-0-0-0-0-4-8-3-0,0-0-0-0-0-0-4-8-5-1,4-8-3
9,012537846,0,0-0-0-0-0-0-3-8-5-0,0-0-0-0-0-0-3-8-6-1,3-8-5
9,012537864,0,0-0-0-0-0-0-2-5-3-0,0-0-0-0-0-0-2-5-4-1,2-5-3
9,012538467,0,0-0-0-0-0-0-8-15-6-0,0-0-0-0-0-0-8-16-9-1,8-15-6
9,012538476,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012538647,1,0-0-0-0-0-0-3-7-5-1,0-0-0-0-0-0-3-7-5-1,3-7-5
9,012538674,0,0-0-0-0-0-0-2-5-3-0,0-0-0-0-0-0-2-5-4-1,2-5-3
9,012538746,1,0-0-0-0-0-0-1-3-3-1,0-0-0-0-0-0-1-3-3-1,1-3-3
9,012543678,0,0-0-0-0-0-0-19-18-6-0,0-0-0-0-0-0-19-21-9-1,19-18-6
9,012543687,1,0-0-0-0-0-0-6-9-5-1,0-0-0-0-0-0-6-9-5-1,6-9-5
9,012543768,1,0-0-0-0-0-0-6-9-5-1,0-0-0-0-0-0-6-9-5-1,6-9-5
9,012543786,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012543867,1,0-0-0-0-0-0-3-6-4-1,0-0-0-0-0-0-3-6-4-1,3-6-4
9,012546378,0,0-0-0-0-0-0-14-19-6-0,0-0-0-0-0-0-14-21-9-1,14-19-6
9,012546387,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012546738,0,0-0-0-0-0-0-13-19-6-0,0-0-0-0-0-0-13-21-9-1,13-19-6
9,012546783,0,0-0-0-0-0-0-13-19-6-0,0-0-0-0-0-0-13-21-9-1,13-19-6
9,012546837,0,0-0-0-0-0-0-4-8-3-0,0-0-0-0-0-0-4-8-5-1,4-8-3
9,012546873,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012547368,1,0-0-0-0-0-0-5-9-5-1,0-0-0-0-0-0-5-9-5-1,5-9-5
9,012547386,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012547638,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012547683,1,0-0-0-0-0-0-4-8-5-1,0-0-0-0-0-0-4-8-5-1,4-8-5
9,012547836,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012547863,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012548367,0,0-0-0-0-0-0-3-6-2-0,0-0-0-0-0-0-3-6-4-1,3-6-2
9,012548637,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012548673,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012563478,0,0-0-0-0-0-0-14-24-5-0,0-0-0-0-0-0-14-26-9-1,14-24-5
9,012563487,1,0-0-0-0-0-0-4-10-6-1,0-0-0-0-0-0-4-10-6-1,4-10-6
9,012563748,0,0-0-0-0-0-0-9-17-7-0,0-0-0-0-0-0-9-18-9-1,9-17-7
9,012563784,0,0-0-0-0-0-0-8-15-5-0,0-0-0-0-0-0-8-16-9-1,8-15-5
9,012563847,0,0-0-0-0-0-0-3-8-5-0,0-0-0-0-0-0-3-8-6-1,3-8-5
9,012563874,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012564378,0,0-0-0-0-0-0-9-15-7-0,0-0-0-0-0-0-9-16-9-1,9-15-7
9,012564387,1,0-0-0-0-0-0-2-5-4-1,0-0-0-0-0-0-2-5-4-1,2-5-4
9,012564738,0,0-0-0-0-0-0-8-15-7-0,0-0-0-0-0-0-8-16-9-1,8-15-7
9,012564783,0,0-0-0-0-0-0-8-15-7-0,0-0-0-0-0-0-8-16-9-1,8-15-7
